country_region,date,confirmed,deaths,recovered,active,admin2
Liberia,2022-04-29,7434,294,,,
Liberia,2022-04-15,7402,294,,,
Liberia,2020-08-11,1250,81,736,433,
Liberia,2021-07-12,5215,144,2606,2465,
Liberia,2022-03-07,7384,294,,,
Liberia,2021-12-31,6278,287,,,
Liberia,2022-05-23,7455,294,,,
Liberia,2021-06-04,2250,86,2049,115,
Liberia,2022-01-19,7121,287,,,
Liberia,2020-08-17,1277,82,803,392,
Liberia,2020-09-06,1307,82,1182,43,
Liberia,2020-07-12,1010,51,423,536,
Liberia,2021-09-15,5727,245,,,
Liberia,2021-08-07,5459,148,,,
Liberia,2020-12-26,1779,83,1406,290,
Liberia,2020-11-11,1461,82,1311,68,
Liberia,2021-03-07,2024,85,1892,47,
Liberia,2020-08-27,1298,82,832,384,
Liberia,2022-01-31,7272,290,,,
Liberia,2022-05-22,7455,294,,,
Liberia,2022-06-03,7456,294,,,
Liberia,2021-05-23,2142,85,2022,35,
Liberia,2022-09-29,7961,294,,,
Liberia,2022-06-30,7497,294,,,
Liberia,2021-12-19,5844,287,,,
Liberia,2021-04-15,2042,85,1899,58,
Liberia,2020-12-29,1779,83,1406,290,
Liberia,2022-02-11,7358,290,,,
Liberia,2021-02-27,2010,85,1884,41,
Liberia,2022-01-03,6278,287,,,
Liberia,2020-07-25,1155,71,631,453,
Liberia,2020-12-13,1676,83,1358,235,
Liberia,2020-05-31,288,27,157,104,
Liberia,2020-08-14,1252,82,738,432,
Liberia,2022-04-22,7432,294,,,
Liberia,2020-08-09,1237,79,723,435,
Liberia,2020-09-09,1313,82,1194,37,
Liberia,2020-07-09,957,42,398,517,
Liberia,2021-02-07,1956,84,1770,102,
Liberia,2022-07-05,7500,294,,,
Liberia,2020-11-20,1551,82,1331,138,
Liberia,2022-07-20,7505,294,,,
Liberia,2021-11-10,5818,287,,,
Liberia,2022-08-29,7835,294,,,
Liberia,2022-07-12,7502,294,,,
Liberia,2022-04-30,7434,294,,,
Liberia,2021-02-15,1985,85,1770,130,
Liberia,2021-05-05,2113,85,1959,69,
Liberia,2021-04-27,2098,85,1942,71,
Liberia,2022-10-20,7988,294,,,
Liberia,2022-04-07,7400,294,,,
Liberia,2022-02-10,7358,290,,,
Liberia,2020-10-25,1393,82,1278,33,
Liberia,2022-03-27,7397,294,,,
Liberia,2020-12-25,1779,83,1406,290,
Liberia,2020-11-25,1578,83,1340,155,
Liberia,2021-07-17,5315,148,2705,2462,
Liberia,2022-09-17,7929,294,,,
Liberia,2021-08-10,5459,148,,,
Liberia,2022-10-13,7985,294,,,
Liberia,2022-01-09,6851,287,,,
Liberia,2022-09-09,7898,294,,,
Liberia,2021-10-07,5799,286,,,
Liberia,2022-06-09,7456,294,,,
Liberia,2022-01-17,7121,287,,,
Liberia,2021-09-27,5794,283,,,
Liberia,2020-09-20,1335,82,1216,37,
Liberia,2021-05-20,2142,85,2022,35,
Liberia,2020-08-16,1257,82,788,387,
Liberia,2022-09-23,7961,294,,,
Liberia,2021-01-27,1936,84,1757,95,
Liberia,2020-09-11,1315,82,1199,34,
Liberia,2021-12-27,6228,287,,,
Liberia,2022-08-18,7656,294,,,
Liberia,2021-06-03,2219,86,2044,89,
Liberia,2020-09-19,1335,82,1216,37,
Liberia,2020-09-22,1336,82,1218,36,
Liberia,2020-12-30,1779,83,1406,290,
Liberia,2021-07-28,5396,148,2715,2533,
Liberia,2020-07-22,1114,70,592,452,
Liberia,2022-03-08,7384,294,,,
Liberia,2021-11-22,5819,287,,,
Liberia,2021-07-13,5215,144,2606,2465,
Liberia,2022-04-03,7400,294,,,
Liberia,2022-07-24,7508,294,,,
Liberia,2020-11-27,1595,83,1343,169,
Liberia,2021-06-18,2834,95,2105,634,
Liberia,2020-04-22,101,8,20,73,
Liberia,2021-01-01,1779,83,1406,290,
Liberia,2021-10-12,5802,286,,,
Liberia,2022-06-14,7460,294,,,
Liberia,2021-05-08,2114,85,1962,67,
Liberia,2020-10-22,1385,82,1278,25,
Liberia,2021-12-08,5832,287,,,
Liberia,2021-05-24,2161,86,2028,47,
Liberia,2021-08-23,5527,245,,,
Liberia,2022-02-14,7359,290,,,
Liberia,2020-11-14,1498,82,1314,102,
Liberia,2021-08-31,5594,245,,,
Liberia,2022-11-09,7998,294,,,
Liberia,2021-09-16,5727,245,,,
Liberia,2022-11-26,8014,294,,,
Liberia,2021-01-16,1887,84,1701,102,
Liberia,2022-01-04,6404,287,,,
